Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
CST-2,Linekraft,Chaos State 2,Three Plugs Records,"Cass, EP, Ltd",,2018,11666124,,2018-03-29 12:59:44
NTR12,Angry Aryans,Racially Motivated Violence,Tri-State Terror,"CD, Album",,1999,1927326,,2013-04-09 15:06:42
UTY02,Various,ほっち◯ぽっち4Beat,U.T.Y.,"CDr, Comp",,2009,1773265,,2013-02-15 18:38:37
UHR081,Vrolok,Nocturnal Isolation,Unsung Heroes Records,"CDr, Ltd, RE",,2008,3232129,,2013-05-26 23:40:29
none,USAO,USAO CD Vol.3,UOM Records,CDr,,2009,1875403,,2012-07-04 23:33:39
none,USAO,USAO Kick Samples,UOM Records,"CDr, CD-ROM, WAV",,2009,4344742,,2013-08-11 20:29:55
none,(V.E.G.A.),Far From You,VEGA-Korporation,"CD, Album",,2009,3753356,,2012-10-06 16:37:24
WRT-71,Linekraft,Tann Itsu Kikai,Wintage Records & Tapes,"Cass, Ltd, Num, C40",,2010,2323916,,2016-10-26 14:01:44
XHCD-004,Various,X-Treme Hard Experience Vol. 1,X-Treme Hard,"CD, Mixed",,2009,2068933,,2018-01-11 19:20:54
XHCD-007,Various,X-Treme Hard Experience Vol.2,X-Treme Hard,"CD, Mixed",,2010,2481375,,2018-01-11 19:20:37
XHFKT004,DJ Nicko,Funky Teknique Volume 4,X-Treme Hard,"CD, Album",,2012,5690588,,2017-01-02 16:51:41
XHSFS,The Speed Freak,X-Treme Hard The Speed Freak Sessions Sampler,X-Treme Hard,"CD, Smplr",,2007,1206991,,2013-06-30 12:14:49
ES96:71,Government Alpha Featuring Astro,Ephemeral Warmth,Xerxes,"CDr, Album, Ltd, Num",,1998,625127,,2019-07-26 19:57:28
none,Government Alpha,Melancholic Weeds,Xerxes,"CDr, Promo",,2001,661035,,2013-03-21 17:43:22
"ESCD:0003, MSNP MAC/GOV",Macronympha / Government Alpha,Obliteration,"Xerxes, Mother Savage Noise Productions","CD, Reg",,1996,297618,,2014-04-24 13:20:14
YBCD-5,Aural Vampire,Mimic Your Hairstyle,Yottabyte,"CD, EP",,2015,7774917,,2017-11-12 12:23:03
YTRR-S02,Nadeco,Alquimia 2,YTR Records,"CDr, Single",,2013,4591746,,2013-05-24 09:58:38
ZCDS-0012,Zun,未知の花 魅知の旅,上海アリス幻樂団,"CD, Single",,2011,11701907,,2018-09-27 09:15:39
JAP0065,Tabemono / m1dy,Patriotism Volume 1,日本國民,"CDr, EP",,2002,1059469,,2012-07-02 22:44:20
JAP0072,m1dy,ベルリソ,日本國民,"CDr, Album",,2003,998333,,2012-07-02 22:44:01
JAP0095,Various,Patriotism Volume 2,日本國民,"CDr, Comp",,2002,1077483,,2018-09-02 15:57:48
